pv,tipo,empresa_informante,procedencia,procdet,geojson
BATSBR02-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATSBR02,"{""type"":""Point"",""coordinates"":[-68.898978534,-38.737467607]}"
BATSBR06-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATSBR06,"{""type"":""Point"",""coordinates"":[-68.890111297,-38.7645721609999]}"
BATSBR01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATSBR01,"{""type"":""Point"",""coordinates"":[-68.938936997,-38.7290203479999]}"
BATATD03-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATATD03,"{""type"":""Point"",""coordinates"":[-68.8108135749999,-38.767861916]}"
BATSBR03-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,BATSBR03,"{""type"":""Point"",""coordinates"":[-68.971094942,-38.7318594019999]}"
PILETA DE VENTEO BAT RGD-28,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,RIO GRANDE,"{""type"":""Point"",""coordinates"":[-69.605965308552,-36.2160526758901]}"
OESTE-RDLS-ZA  D BAYO NQN VTO D BAYO ESTE NQN,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,DESFILADERO BAYO ESTE,"{""type"":""Point"",""coordinates"":[-68.9580972936166,-37.3205944640698]}"
OESTE-RDLS-ZA  D BAYO MZA VTO D BAYO MZA,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,DESFILADERO BAYO,"{""type"":""Point"",""coordinates"":[-69.0274967583862,-37.3353426306599]}"
PCGGUA01-SVENTEOS-EFL001,CHIMENEA DE QUEMA,YPF S.A.,YACIMIENTO,PCGGUA01,"{""type"":""Point"",""coordinates"":[-69.2304556459999,-38.865409628]}"
OESTE-MZAS-GAS-BAT CF-2,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,CERRO FORTUNOSO,"{""type"":""Point"",""coordinates"":[-69.3750690523947,-36.2255758020814]}"
OESTE-MZAS-GAS-BAT CF-3,FOSA DE QUEMA,YPF S.A.,PLANTA COMPRESORA,CERRO FORTUNOSO,"{""type"":""Point"",""coordinates"":[-69.3877739395156,-36.2478656662673]}"
